"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"時系列名","産業分類","事業所規模","年","年平均","１月","２月","３月","４月","５月","６月","７月","８月","９月","１０月","１１月","１２月"
"パートタイム労働者比率","TL調査産業計","５人以上","2005.0","26.5","26.4","26.5","26.3","26.1","25.7","25.4","27.0","27.1","27.0","26.8","27.0","26.8"
"パートタイム労働者比率","TL調査産業計","５人以上","2006.0","26.0","25.8","25.9","25.6","25.4","26.3","26.3","26.0","25.9","26.4","26.2","26.0","26.3"
"パートタイム労働者比率","TL調査産業計","５人以上","2007.0","25.4","24.6","24.7","24.6","24.3","24.6","24.5","26.4","27.0","26.5","25.6","26.2","26.0"
"パートタイム労働者比率","TL調査産業計","５人以上","2008.0","26.0","26.2","25.9","25.4","25.0","24.9","24.8","26.9","26.4","26.9","26.7","26.1","27.1"
"パートタイム労働者比率","TL調査産業計","５人以上","2009.0","30.4","30.1","29.9","30.4","29.8","30.8","30.7","30.5","30.1","30.3","30.1","30.9","31.0"
"パートタイム労働者比率","TL調査産業計","５人以上","2010.0","29.9","29.0","28.4","29.0","29.4","29.2","29.8","30.5","30.5","30.2","30.4","31.5","31.1"
"パートタイム労働者比率","TL調査産業計","５人以上","2011.0","32.3","32.4","32.1","32.0","32.3","32.2","32.2","32.3","32.7","32.3","32.0","32.6","32.4"
"パートタイム労働者比率","TL調査産業計","５人以上","2012.0","32.3","31.8","31.9","32.8","32.4","31.8","32.5","32.6","32.3","32.5","32.7","32.4","32.1"
"パートタイム労働者比率","TL調査産業計","５人以上","2013.0","32.1","32.7","33.1","32.9","32.1","32.2","32.3","31.4","31.3","31.9","32.0","32.0","31.8"
"パートタイム労働者比率","TL調査産業計","５人以上","2014.0","30.6","31.1","31.2","31.0","30.9","30.9","30.8","30.5","30.4","30.1","29.8","30.1","30.3"
"パートタイム労働者比率","TL調査産業計","５人以上","2015.0","31.3","30.4","31.2","31.2","30.1","29.6","31.1","32.1","31.8","32.1","32.2","31.7","31.9"
"パートタイム労働者比率（前年差）","TL調査産業計","５人以上","2006.0","-0.5","-0.6","-0.6","-0.7","-0.7","0.6","0.9","-1.0","-1.2","-0.6","-0.6","-1.0","-0.5"
"パートタイム労働者比率（前年差）","TL調査産業計","５人以上","2007.0","-0.6","-1.2","-1.2","-1.0","-1.1","-1.7","-1.8","0.4","1.1","0.1","-0.6","0.2","-0.3"
"パートタイム労働者比率（前年差）","TL調査産業計","５人以上","2008.0","0.6","1.6","1.2","0.8","0.7","0.3","0.3","0.5","-0.6","0.4","1.1","-0.1","1.1"
"パートタイム労働者比率（前年差）","TL調査産業計","５人以上","2009.0","4.4","3.9","4.0","5.0","4.8","5.9","5.9","3.6","3.7","3.4","3.4","4.8","3.9"
"パートタイム労働者比率（前年差）","TL調査産業計","５人以上","2010.0","-0.5","-1.1","-1.5","-1.4","-0.4","-1.6","-0.9","0.0","0.4","-0.1","0.3","0.6","0.1"
"パートタイム労働者比率（前年差）","TL調査産業計","５人以上","2011.0","2.4","3.4","3.7","3.0","2.9","3.0","2.4","1.8","2.2","2.1","1.6","1.1","1.3"
"パートタイム労働者比率（前年差）","TL調査産業計","５人以上","2012.0","0.0","-0.6","-0.2","0.8","0.1","-0.4","0.3","0.3","-0.4","0.2","0.7","-0.2","-0.3"
"パートタイム労働者比率（前年差）","TL調査産業計","５人以上","2013.0","-0.2","0.9","1.2","0.1","-0.3","0.4","-0.2","-1.2","-1.0","-0.6","-0.7","-0.4","-0.3"
"パートタイム労働者比率（前年差）","TL調査産業計","５人以上","2014.0","-1.5","-1.6","-1.9","-1.9","-1.2","-1.3","-1.5","-0.9","-0.9","-1.8","-2.2","-1.9","-1.5"
"パートタイム労働者比率（前年差）","TL調査産業計","５人以上","2015.0","0.7","-0.7","0.0","0.2","-0.8","-1.3","0.3","1.6","1.4","2.0","2.4","1.6","1.6"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","５人以上","2005.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","５人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","５人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","５人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","５人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","５人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","５人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","５人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","５人以上","2013.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","５人以上","2014.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","５人以上","2015.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2013.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2014.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2015.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","D建設業","５人以上","2005.0","5.3","4.2","5.0","5.0","5.1","5.0","5.1","2.4","5.4","6.4","5.5","7.5","7.5"
