"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"時系列名","産業分類","事業所規模","年","年平均","１月","２月","３月","４月","５月","６月","７月","８月","９月","１０月","１１月","１２月"
"パートタイム労働者比率","TL調査産業計","３０人以上","2005.0","27.2","27.4","27.5","27.1","27.5","27.1","26.8","27.2","27.2","27.5","27.3","27.4","26.7"
"パートタイム労働者比率","TL調査産業計","３０人以上","2006.0","26.5","26.8","26.7","26.2","25.3","26.7","26.4","26.5","25.9","26.8","27.1","26.3","26.7"
"パートタイム労働者比率","TL調査産業計","３０人以上","2007.0","24.2","24.1","23.9","23.9","23.7","24.2","23.8","24.2","24.8","24.4","24.2","24.8","24.1"
"パートタイム労働者比率","TL調査産業計","３０人以上","2008.0","23.8","25.2","24.8","23.9","23.7","23.4","23.3","23.8","23.1","23.3","23.8","22.9","23.8"
"パートタイム労働者比率","TL調査産業計","３０人以上","2009.0","27.8","26.9","26.8","27.0","27.1","27.6","27.6","27.7","27.6","28.3","28.3","29.5","29.6"
"パートタイム労働者比率","TL調査産業計","３０人以上","2010.0","29.2","29.1","28.5","29.2","29.5","29.2","29.3","29.1","28.9","29.2","29.2","29.9","29.6"
"パートタイム労働者比率","TL調査産業計","３０人以上","2011.0","29.5","29.8","29.4","29.2","29.7","29.1","29.3","29.1","30.2","30.1","29.2","29.2","29.1"
"パートタイム労働者比率","TL調査産業計","３０人以上","2012.0","29.9","28.9","29.4","30.4","29.5","28.5","30.3","30.2","30.0","30.5","30.7","30.3","30.4"
"パートタイム労働者比率","TL調査産業計","３０人以上","2013.0","30.6","30.6","31.0","30.7","30.0","30.5","30.7","30.9","30.4","30.5","30.9","30.6","29.9"
"パートタイム労働者比率","TL調査産業計","３０人以上","2014.0","30.4","30.0","30.1","30.3","30.0","30.2","30.2","30.6","30.5","30.7","30.8","30.8","30.9"
"パートタイム労働者比率","TL調査産業計","３０人以上","2015.0","30.1","29.6","30.8","30.6","28.8","28.0","31.1","30.9","30.8","30.9","30.6","29.8","29.5"
"パートタイム労働者比率（前年差）","TL調査産業計","３０人以上","2006.0","-0.7","-0.6","-0.8","-0.9","-2.2","-0.4","-0.4","-0.7","-1.3","-0.7","-0.2","-1.1","0.0"
"パートタイム労働者比率（前年差）","TL調査産業計","３０人以上","2007.0","-2.3","-2.7","-2.8","-2.3","-1.6","-2.5","-2.6","-2.3","-1.1","-2.4","-2.9","-1.5","-2.6"
"パートタイム労働者比率（前年差）","TL調査産業計","３０人以上","2008.0","-0.4","1.1","0.9","0.0","0.0","-0.8","-0.5","-0.4","-1.7","-1.1","-0.4","-1.9","-0.3"
"パートタイム労働者比率（前年差）","TL調査産業計","３０人以上","2009.0","4.0","1.7","2.0","3.1","3.4","4.2","4.3","3.9","4.5","5.0","4.5","6.6","5.8"
"パートタイム労働者比率（前年差）","TL調査産業計","３０人以上","2010.0","1.4","2.2","1.7","2.2","2.4","1.6","1.7","1.4","1.3","0.9","0.9","0.4","0.0"
"パートタイム労働者比率（前年差）","TL調査産業計","３０人以上","2011.0","0.3","0.7","0.9","0.0","0.2","-0.1","0.0","0.0","1.3","0.9","0.0","-0.7","-0.5"
"パートタイム労働者比率（前年差）","TL調査産業計","３０人以上","2012.0","0.4","-0.9","0.0","1.2","-0.2","-0.6","1.0","1.1","-0.2","0.4","1.5","1.1","1.3"
"パートタイム労働者比率（前年差）","TL調査産業計","３０人以上","2013.0","0.7","1.7","1.6","0.3","0.5","2.0","0.4","0.7","0.4","0.0","0.2","0.3","-0.5"
"パートタイム労働者比率（前年差）","TL調査産業計","３０人以上","2014.0","-0.2","-0.6","-0.9","-0.4","0.0","-0.3","-0.5","-0.3","0.1","0.2","-0.1","0.2","1.0"
"パートタイム労働者比率（前年差）","TL調査産業計","３０人以上","2015.0","-0.3","-0.4","0.7","0.3","-1.2","-2.2","0.9","0.3","0.3","0.2","-0.2","-1.0","-1.4"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","３０人以上","2005.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","３０人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","３０人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","３０人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","３０人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","３０人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","３０人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","３０人以上","2013.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","３０人以上","2014.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","C鉱業、採石業、砂利採取業","３０人以上","2015.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
